structure_id	structure_name	acronym	loc	acronym_upper	Left_hemisphere	Right_hemisphere	Undefined_hemisphere	source	coldcuts_acronym	coldcuts_id	coldcuts_name	coldcuts
4031	MFG-i_middle frontal gyrus, Left, inferior bank of gyrus	MFG	i	MFG	TRUE	FALSE	FALSE	ABA_dataset_adult	MFG	12116	middle frontal gyrus	TRUE
4382	LA_Lateral Nucleus, Right	LA	NA	LA	FALSE	TRUE	FALSE	ABA_dataset_adult	La	10367	lateral nucleus	TRUE
4289	Pu_Putamen, Right	Pu	NA	PU	FALSE	TRUE	FALSE	ABA_dataset_adult	Pu	10338	putamen	TRUE
4707	Ve-VIIAt_VIIAt	Ve	VIIAt	VE	FALSE	FALSE	TRUE	ABA_dataset_adult	NA	NA	NA	NA
4064	SCG_subcollosal gyrus, Right	SCG	NA	SCG	FALSE	TRUE	FALSE	ABA_dataset_adult	SCG	12160	subcallosal gyrus (parolfactory gyrus)	TRUE
4641	DMH_Dorsomedial hypothalamic Nucleus, Left	DMH	NA	DMH	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4788	Emb_Emboliform Nucleus, Right	Emb	NA	EMB	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4899	SRoG_superior rostral gyrus, Right	SRoG	NA	SROG	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4726	PV-VIIIA_VIIIA, Left Paravermis	PV	VIIIA	PV	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4743	He-VIIIB_VIIIB, Left Lateral Hemisphere	He	VIIIB	HE	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4052	MOrG_medial orbital gyrus, Right	MOrG	NA	MORG	FALSE	TRUE	FALSE	ABA_dataset_adult	MOrG	12122	medial orbital gyrus	TRUE
4169	TG_transverse gyri, Left	TG	NA	TG	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4179	PLP_planum polare, Right	PLP	NA	PLP	FALSE	TRUE	FALSE	ABA_dataset_adult	PLP	12147	planum polare	TRUE
